127.0.0.1 - - [22/Sep/2022:15:56:04 +0530] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [22/Sep/2022:15:56:07 +0530] "GET /ORS_Project4/ HTTP/1.1" 200 554
0:0:0:0:0:0:0:1 - - [22/Sep/2022:15:56:07 +0530] "GET /ORS_Project4/img/customLogo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2022:15:56:07 +0530] "GET /ORS_Project4/img/logo.png HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [22/Sep/2022:15:56:56 +0530] "GET /ORS_Project4/ctl HTTP/1.1" 200 3112
0:0:0:0:0:0:0:1 - - [22/Sep/2022:15:56:56 +0530] "GET /favicon.ico HTTP/1.1" 404 720
0:0:0:0:0:0:0:1 - - [22/Sep/2022:15:57:21 +0530] "GET /ORS_Project4 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Sep/2022:15:57:21 +0530] "GET /ORS_Project4/ HTTP/1.1" 200 554
0:0:0:0:0:0:0:1 - - [22/Sep/2022:15:59:46 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1266
0:0:0:0:0:0:0:1 - - [22/Sep/2022:16:00:08 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 3047
0:0:0:0:0:0:0:1 - - [22/Sep/2022:16:00:21 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 200 3108
0:0:0:0:0:0:0:1 - - [22/Sep/2022:16:03:09 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Sep/2022:16:03:09 +0530] "GET /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5750
0:0:0:0:0:0:0:1 - - [22/Sep/2022:16:03:09 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [22/Sep/2022:16:03:40 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Sep/2022:16:03:40 +0530] "GET /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5750
0:0:0:0:0:0:0:1 - - [22/Sep/2022:16:03:40 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [22/Sep/2022:16:04:00 +0530] "POST /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5949
0:0:0:0:0:0:0:1 - - [22/Sep/2022:16:04:00 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [22/Sep/2022:16:12:26 +0530] "POST /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5962
0:0:0:0:0:0:0:1 - - [22/Sep/2022:16:12:26 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [22/Sep/2022:16:14:51 +0530] "POST /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5960
0:0:0:0:0:0:0:1 - - [22/Sep/2022:16:14:51 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [22/Sep/2022:16:25:46 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 3047
0:0:0:0:0:0:0:1 - - [22/Sep/2022:16:25:54 +0530] "GET /ORS_Project4/ForgetPasswordCtl HTTP/1.1" 200 2454
0:0:0:0:0:0:0:1 - - [22/Sep/2022:16:26:06 +0530] "POST /ORS_Project4/ForgetPasswordCtl HTTP/1.1" 200 2521
0:0:0:0:0:0:0:1 - - [22/Sep/2022:16:26:27 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 3047
0:0:0:0:0:0:0:1 - - [22/Sep/2022:16:26:37 +0530] "GET /ORS_Project4/ForgetPasswordCtl HTTP/1.1" 200 2454
0:0:0:0:0:0:0:1 - - [22/Sep/2022:16:26:53 +0530] "POST /ORS_Project4/ForgetPasswordCtl HTTP/1.1" 200 2520
0:0:0:0:0:0:0:1 - - [22/Sep/2022:16:27:05 +0530] "POST /ORS_Project4/ForgetPasswordCtl HTTP/1.1" 200 2503
0:0:0:0:0:0:0:1 - - [22/Sep/2022:16:29:06 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 3047
0:0:0:0:0:0:0:1 - - [22/Sep/2022:16:29:17 +0530] "GET /ORS_Project4/ctl HTTP/1.1" 200 3112
0:0:0:0:0:0:0:1 - - [22/Sep/2022:16:29:39 +0530] "GET /ORS_Project4/ctl/* HTTP/1.1" 200 3114
0:0:0:0:0:0:0:1 - - [22/Sep/2022:16:37:12 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Sep/2022:16:37:12 +0530] "GET /ORS_Project4/ctl/* HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [22/Sep/2022:16:37:12 +0530] "GET /ORS_Project4/img/error_404.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2022:16:37:12 +0530] "GET /ORS_Project4/img/customLogo.png HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [22/Sep/2022:16:37:20 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 5095
0:0:0:0:0:0:0:1 - - [22/Sep/2022:16:37:39 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 3314
0:0:0:0:0:0:0:1 - - [22/Sep/2022:16:37:51 +0530] "GET /ORS_Project4/LoginCtl?operation=logout HTTP/1.1" 200 3070
0:0:0:0:0:0:0:1 - - [22/Sep/2022:16:46:23 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Sep/2022:16:46:23 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 3314
0:0:0:0:0:0:0:1 - - [22/Sep/2022:16:52:07 +0530] "GET /ORS_Project4/ctl/MyProfileCtl HTTP/1.1" 200 6267
0:0:0:0:0:0:0:1 - - [22/Sep/2022:16:52:07 +0530] "GET /ORS_Project4/js/calendar.js HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [22/Sep/2022:16:52:19 +0530] "GET /ORS_Project4/ctl/RoleCtl HTTP/1.1" 200 5162
0:0:0:0:0:0:0:1 - - [22/Sep/2022:16:52:33 +0530] "GET /ORS_Project4/ctl/TimeTableListCtl HTTP/1.1" 200 10098
0:0:0:0:0:0:0:1 - - [22/Sep/2022:16:52:33 +0530] "GET /ORS_Project4/ctl/TimeTableListCtl HTTP/1.1" 200 10098
0:0:0:0:0:0:0:1 - - [22/Sep/2022:16:52:33 +0530] "GET /ORS_Project4/js/Checkbox11.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2022:16:52:33 +0530] "GET /ORS_Project4/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2022:16:52:33 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
